---,Actor,Location,Rotation,Scale,Mesh,Materials
Row_0,Class'/Script/Engine.AmbientSound',"(X=-75366.648438,Y=106077.148438,Z=2288.350830)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_1,Class'/Script/Engine.AmbientSound',"(X=139026.250000,Y=-135755.562500,Z=2958.782227)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_2,Class'/Script/Engine.AmbientSound',"(X=120438.929688,Y=40319.214844,Z=1231.404907)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_3,Class'/Script/Engine.AmbientSound',"(X=15995.927734,Y=-100791.968750,Z=281.327972)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_4,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=17084.904297,Y=34769.378906,Z=3125.879150)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_5,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=15975.150391,Y=34659.339844,Z=3125.879150)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_6,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=-44201.824219,Y=-13745.468750,Z=6332.876953)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_7,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=120170.859375,Y=41143.781250,Z=1818.387451)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_8,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=73570.312500,Y=110722.773438,Z=1739.892578)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_9,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=71468.820312,Y=115281.679688,Z=1800.083740)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_10,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=71147.796875,Y=114748.765625,Z=1810.693726)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_11,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=-117867.054688,Y=91633.796875,Z=2594.437744)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_12,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=-29675.085938,Y=124480.054688,Z=590.003296)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_13,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=139311.015625,Y=-133483.828125,Z=2992.343994)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_14,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=138720.703125,Y=-133305.296875,Z=3620.664062)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_15,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=136366.546875,Y=-133401.281250,Z=3640.154297)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_16,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=136376.546875,Y=-133110.515625,Z=3013.365479)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_17,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=141516.890625,Y=-137466.015625,Z=3616.032715)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_18,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=-79830.968750,Y=45482.039062,Z=12373.247070)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_19,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=-79732.617188,Y=45489.234375,Z=12373.247070)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_20,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=-79718.570312,Y=46485.152344,Z=12373.247070)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
Row_21,BlueprintGeneratedClass'/Game/Items/AmmoSpawner.AmmoSpawner_C',"(X=-79838.210938,Y=46483.878906,Z=12373.247070)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",
